行业,省份,企业总数,中外合资经营企业企业数量,中央国有企业企业数量,国有企业（其他）企业数量,国有企业（院所）企业数量,地方国有企业企业数量,外资企业企业数量,民营企业企业数量,集体企业企业数量,深交所企业数量,港交所企业数量,北交所企业数量,上交所企业数量,民营企业-深交所企业数量,地方国有企业-深交所企业数量,中央国有企业-深交所企业数量,外资企业-深交所企业数量,民营企业-港交所企业数量,外资企业-港交所企业数量,中央国有企业-港交所企业数量,国有企业（其他）-港交所企业数量,国有企业（院所）-深交所企业数量,集体企业-深交所企业数量,地方国有企业-港交所企业数量,中外合资经营企业-深交所企业数量,中外合资经营企业-港交所企业数量,国有企业（院所）-港交所企业数量,集体企业-港交所企业数量,民营企业-北交所企业数量,中央国有企业-北交所企业数量,地方国有企业-北交所企业数量,地方国有企业-上交所企业数量,中央国有企业-上交所企业数量,外资企业-上交所企业数量,民营企业-上交所企业数量,国有企业（其他）-上交所企业数量,中外合资经营企业-上交所企业数量,集体企业-上交所企业数量,国有企业（院所）-上交所企业数量,中外合资经营企业-北交所企业数量,外资企业-北交所企业数量,集体企业-北交所企业数量,总资产合计,总资产均值,总资产最大值,总资产最小值,总资产中位数,净利润金额合计,净利润金额均值,净利润金额最大值,净利润金额最小值,净利润金额中位数,雇员总数合计,雇员总数均值,雇员总数最大值,雇员总数最小值,雇员总数中位数,营业收入金额合计,营业收入金额均值,营业收入金额最大值,营业收入金额最小值,营业收入金额中位数,资产负债率均值,资产负债率最大值,资产负债率最小值,资产负债率中位数,研发投入金额合计,研发投入金额均值,研发投入金额最大值,研发投入金额最小值,研发投入金额中位数,营业收入同比增减幅均值,营业收入同比增减幅最大值,营业收入同比增减幅最小值,营业收入同比增减幅中位数,营业利润金额合计,营业利润金额均值,营业利润金额最大值,营业利润金额最小值,营业利润金额中位数,营业利润同比增减幅均值,营业利润同比增减幅最大值,营业利润同比增减幅最小值,营业利润同比增减幅中位数,净利润同比增减幅均值,净利润同比增减幅最大值,净利润同比增减幅最小值,净利润同比增减幅中位数,研发投入同比增减幅均值,研发投入同比增减幅最大值,研发投入同比增减幅最小值,研发投入同比增减幅中位数,研发投入占比均值,研发投入占比最大值,研发投入占比最小值,研发投入占比中位数,研发投入占比增减幅均值,研发投入占比增减幅最大值,研发投入占比增减幅最小值,研发投入占比增减幅中位数,资本化研发投入合计,资本化研发投入均值,资本化研发投入最大值,资本化研发投入最小值,资本化研发投入中位数,资本化研发投入同比增减幅均值,资本化研发投入同比增减幅最大值,资本化研发投入同比增减幅最小值,资本化研发投入同比增减幅中位数,研发人员数量合计,研发人员数量均值,研发人员数量最大值,研发人员数量最小值,研发人员数量中位数,研发人员同比增减幅均值,研发人员同比增减幅最大值,研发人员同比增减幅最小值,研发人员同比增减幅中位数,雇员同比增减幅均值,雇员同比增减幅最大值,雇员同比增减幅最小值,雇员同比增减幅中位数,政府奖励资金、补贴合计,政府奖励资金、补贴均值,政府奖励资金、补贴最大值,政府奖励资金、补贴最小值,政府奖励资金、补贴中位数,公司市值合计,公司市值均值,公司市值最大值,公司市值最小值,公司市值中位数,累计中国专利申请数合计,累计中国专利申请数均值,累计中国专利申请数最大值,累计中国专利申请数最小值,累计中国专利申请数中位数,累计PCT专利申请数合计,累计PCT专利申请数均值,累计PCT专利申请数最大值,累计PCT专利申请数最小值,累计PCT专利申请数中位数,累计中国发明专利授权数合计,累计中国发明专利授权数均值,累计中国发明专利授权数最大值,累计中国发明专利授权数最小值,累计中国发明专利授权数中位数,累计中国发明专利失效数合计,累计中国发明专利失效数均值,累计中国发明专利失效数最大值,累计中国发明专利失效数最小值,累计中国发明专利失效数中位数,累计PCT发明专利失效数合计,累计PCT发明专利失效数均值,累计PCT发明专利失效数最大值,累计PCT发明专利失效数最小值,累计PCT发明专利失效数中位数,年度中国专利申请数合计,年度中国专利申请数均值,年度中国专利申请数最大值,年度中国专利申请数最小值,年度中国专利申请数中位数,年度PCT专利申请数合计,年度PCT专利申请数均值,年度PCT专利申请数最大值,年度PCT专利申请数最小值,年度PCT专利申请数中位数,年度中国发明专利申请数合计,年度中国发明专利申请数均值,年度中国发明专利申请数最大值,年度中国发明专利申请数最小值,年度中国发明专利申请数中位数,年度PCT发明专利申请数合计,年度PCT发明专利申请数均值,年度PCT发明专利申请数最大值,年度PCT发明专利申请数最小值,年度PCT发明专利申请数中位数,年度中国专利授权数合计,年度中国专利授权数均值,年度中国专利授权数最大值,年度中国专利授权数最小值,年度中国专利授权数中位数,年度中国发明专利授权数合计,年度中国发明专利授权数均值,年度中国发明专利授权数最大值,年度中国发明专利授权数最小值,年度中国发明专利授权数中位数,研发人员占比均值,研发人员占比最大值,研发人员占比最小值,研发人员占比中位数,国家科技进步奖合计,国家科技进步奖均值,国家科技进步奖最大值,国家科技进步奖最小值,国家科技进步奖中位数,国家技术发明奖合计,国家技术发明奖均值,国家技术发明奖最大值,国家技术发明奖最小值,国家技术发明奖中位数,省/部级科技进步奖合计,省/部级科技进步奖均值,省/部级科技进步奖最大值,省/部级科技进步奖最小值,省/部级科技进步奖中位数,省/部级技术发明奖合计,省/部级技术发明奖均值,省/部级技术发明奖最大值,省/部级技术发明奖最小值,省/部级技术发明奖中位数,国际行业奖项合计,国际行业奖项均值,国际行业奖项最大值,国际行业奖项最小值,国际行业奖项中位数,国家自然科学奖合计,国家自然科学奖均值,国家自然科学奖最大值,国家自然科学奖最小值,国家自然科学奖中位数,省/部级自然科学奖合计,省/部级自然科学奖均值,省/部级自然科学奖最大值,省/部级自然科学奖最小值,省/部级自然科学奖中位数,省/部级科学技术奖合计,省/部级科学技术奖均值,省/部级科学技术奖最大值,省/部级科学技术奖最小值,省/部级科学技术奖中位数,省级企业科技创新奖合计,省级企业科技创新奖均值,省级企业科技创新奖最大值,省级企业科技创新奖最小值,省级企业科技创新奖中位数,总负债合计,总负债均值,总负债最大值,总负债最小值,总负债中位数,累计所有专利被引用数合计,累计所有专利被引用数均值,累计所有专利被引用数最大值,累计所有专利被引用数最小值,累计所有专利被引用数中位数,累计核心专利被引次数合计,累计核心专利被引次数均值,累计核心专利被引次数最大值,累计核心专利被引次数最小值,累计核心专利被引次数中位数,累计中国发明专利申请数合计,累计中国发明专利申请数均值,累计中国发明专利申请数最大值,累计中国发明专利申请数最小值,累计中国发明专利申请数中位数,累计PCT发明专利申请数合计,累计PCT发明专利申请数均值,累计PCT发明专利申请数最大值,累计PCT发明专利申请数最小值,累计PCT发明专利申请数中位数,参与起草国家标准合计,参与起草国家标准均值,参与起草国家标准最大值,参与起草国家标准最小值,参与起草国家标准中位数,参与起草行业标准合计,参与起草行业标准均值,参与起草行业标准最大值,参与起草行业标准最小值,参与起草行业标准中位数
纺织鞋服业,河北省,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650966081,1650966081,1650966081,1650966081,1650966081,-322406279.6,-322406279.6,-322406279.6,-322406279.6,-322406279.6,972,972,972,972,972,318248803.5,318248803.5,318248803.5,318248803.5,318248803.5,26.2,26.2,26.2,26.2,10878638.2,10878638.2,10878638.2,10878638.2,10878638.2,-23.36,-23.36,-23.36,-23.36,-319019797.9,-319019797.9,-319019797.9,-319019797.9,-319019797.9,-1725,-1725,-1725,-1725,-2283.37,-2283.37,-2283.37,-2283.37,-8.29,-8.29,-8.29,-8.29,3.45,3.45,3.45,3.45,0.55,0.55,0.55,0.55,0,0,0,0,0,0,0,0,0,81,81,81,81,81,-4.72,-4.72,-4.72,-4.72,-6.8,-6.8,-6.8,-6.8,4337854.2,4337854.2,4337854.2,4337854.2,4337854.2,17,17,17,17,17,80,80,80,80,80,0,0,0,0,0,2,2,2,2,2,19,19,19,19,19,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,8.38,8.38,8.38,8.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433500345,433500345,433500345,433500345,433500345,122,122,122,122,122,0,0,0,0,0,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
通信传输设备业,河北省,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金属制品业,河北省,2,,1,,,,,1,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60395933563,30197966782,55916813718,4479119845,30197966782,1927364630,963682315.2,1918280442,9084188.47,963682315.2,17372,8686,14988,2384,8686,49932696510,24966348254.815,47760081404,2172615106,24966348254.815,47.585,50.67,44.5,47.585,1560342243,780171121.5,1427752413,132589829.7,780171121.5,-11.14,-10.4,-11.88,-11.14,2203674883,1101837441,2189225254,14449628.71,1101837441,-39.825,-26.77,-52.88,-39.825,-37.055,-12.05,-62.06,-37.055,29.025,43.49,14.56,29.025,4.5,6.1,2.9,4.5,1.47,2.3,0.64,1.47,0,0,0,0,0,0,0,0,0,1167,583.5,1015,152,583.5,4.84,6.29,3.39,4.84,-3.07,-2.1,-4.04,-3.07,288952717.8,144476358.9,281459143.2,7493574.55,144476358.9,199,99.5,160,39,99.5,5979,2989.5,5348,631,2989.5,13,13,13,13,13,635,317.5,590,45,317.5,829,414.5,803,26,414.5,0,0,0,0,0,567,283.5,468,99,283.5,0,0,0,0,0,195,97.5,161,34,97.5,0,0,0,0,0,507,253.5,442,65,253.5,99,49.5,96,3,49.5,6.585,6.71,6.46,6.585,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30319745201,15159872600.405,28326439937,1993305264,15159872600.405,8238,4119,7197,1041,4119,0,0,0,0,0,2081,1040.5,1916,165,1040.5,13,13,13,13,13,1,1,1,1,1,2,2,2,2,2
文化、体育和娱乐业,河北省,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
橡胶和塑料制品业,河北省,3,,,,,,,3,,1,,2,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,7988090881,2662696960.33667,7012424169,465652775.2,510013936.3,378377968.3,126125989.446667,294948302.3,40794920.63,42634745.39,3184,1061.33333333333,2169,506,509,3554316171,1184772056.97333,2834615615,335517113.9,384183442,19.4533333333333,25.48,14.83,18.05,67777005.68,22592335.2266667,33094213.4,15442899.63,19239892.65,-1.126666667,5.96,-7.54,-1.8,441224285.9,147074761.953333,345298580.4,47206340.01,48719365.47,-3.136666667,12.25,-19.76,-1.9,-3.146666667,12.32,-18.2,-3.56,-2.813333333,9.1,-22.74,5.2,3.65,5.78,1.1,4.07,0.14,0.65,-0.39,0.16,0,0,0,0,0,0,0,0,0,318,106,133,68,117,15.56,21.5,9.62,15.56,-1.64,3.5,-10.02,1.6,43705221.54,14568407.18,30378866.92,3220416.65,10105937.97,89.4,29.8,76,6.16,7.24,138,46,63,34,41,1,1,1,1,1,18,9,13,5,9,5,1.66666666666667,2,1,2,0,0,0,0,0,29,9.66666666666667,23,2,4,0,0,0,0,0,7,3.5,6,1,3.5,0,0,0,0,0,35,11.6666666666667,18,4,13,6,3,3,3,3,13.8933333333333,22.25,6.05,13.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945338801,648446266.9,1784042923,69320189.75,91975687.73,294,98,133,60,101,0,0,0,0,0,39,13,18,10,11,1,1,1,1,1,3,1.5,2,1,1.5,0,0,0,0,0
租赁和商务服务业,河北省,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
农、林、牧、渔业,河北省,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
仪器仪表制造业,河北省,2,,,,,,,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3525475411,1762737705,2332378069,1193097342,1762737705,-22593465.98,-11296732.99,108544142.2,-131137608.1,-11296732.99,2714,1357,2203,511,1357,1515638206,757819103.1,1008139691,507498515.4,757819103.1,16.77,16.96,16.58,16.77,116321010.1,58160505.06,82647299.51,33673710.61,58160505.06,-6.16,-3.03,-9.29,-6.16,-12304795.98,-6152397.99,124687433.8,-136992229.8,-6152397.99,-126.605,-30.01,-223.2,-126.605,-151.495,-30.09,-272.9,-151.495,4.155,8,0.31,4.155,7.435,8.2,6.67,7.435,0.815,1.34,0.29,0.815,0,0,0,0,0,0,0,0,0,302,151,178,124,151,15.6,15.6,15.6,15.6,-0.125,1.51,-1.76,-0.125,33135785.9,16567892.95,26871336.08,6264449.82,16567892.95,57,28.5,31,26,28.5,759,379.5,565,194,379.5,4,4,4,4,4,46,23,37,9,23,44,22,36,8,22,0,0,0,0,0,116,58,89,27,58,3,3,3,3,3,58,29,47,11,29,3,3,3,3,3,113,56.5,102,11,56.5,18,9,15,3,9,16.08,24.36,7.8,16.08,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591455933.2,295727966.6,394366664,197089269.3,295727966.6,1248,624,968,280,624,0,0,0,0,0,215,107.5,164,51,107.5,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
造纸和纸制品业,河北省,1,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1374040311,1374040311,1374040311,1374040311,1374040311,-111379330.9,-111379330.9,-111379330.9,-111379330.9,-111379330.9,385,385,385,385,385,674440869.4,674440869.4,674440869.4,674440869.4,674440869.4,11.32,11.32,11.32,11.32,978194.78,978194.78,978194.78,978194.78,978194.78,-35,-35,-35,-35,-35650298.07,-35650298.07,-35650298.07,-35650298.07,-35650298.07,-474.64,-474.64,-474.64,-474.64,-2005.41,-2005.41,-2005.41,-2005.41,49.58,49.58,49.58,49.58,0.16,0.16,0.16,0.16,0.08,0.08,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,3.85,3.85,3.85,0,0,0,0,0,0.33,0.33,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155408474.2,155408474.2,155408474.2,155408474.2,155408474.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他制造业,河北省,2,1,,,,,,1,,2,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,8984919930,4492459965,8057808600,927111330.9,4492459965,626508793.4,313254396.7,599617453,26891340.37,313254396.7,5143,2571.5,4978,165,2571.5,4750277657,2375138829,4602376922,147900735.7,2375138829,16.06,25.6,6.52,16.06,264110284.8,132055142.4,254162456,9947828.79,132055142.4,-9.77,19.15,-38.69,-9.77,717442056.6,358721028.3,686022001.7,31420054.89,358721028.3,-28.485,9.26,-66.23,-28.485,-29.25,8.18,-66.68,-29.25,15.775,34.22,-2.67,15.775,6.125,6.7,5.55,6.125,1.54,2.41,0.67,1.54,26292264.15,26292264.15,26292264.15,26292264.15,26292264.15,769.25,769.25,769.25,769.25,407,203.5,380,27,203.5,0.805,17.29,-15.68,0.805,-2.725,11.54,-16.99,-2.725,12608911.17,6304455.585,12065530.96,543380.21,6304455.585,166,83,135,31,83,756,378,680,76,378,4,4,4,4,4,43,21.5,30,13,21.5,18,9,14,4,9,0,0,0,0,0,174,174,174,174,174,0,0,0,0,0,67,67,67,67,67,0,0,0,0,0,118,59,116,2,59,8,4,6,2,4,12.215,16.63,7.8,12.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123867119,1061933559,2062725603,61141515.4,1061933559,637,318.5,480,157,318.5,0,0,0,0,0,178,89,153,25,89,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
教育,河北省,1,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1955463279,1955463279,1955463279,1955463279,1955463279,26718819,26718819,26718819,26718819,26718819,1207,1207,1207,1207,1207,311900453,311900453,311900453,311900453,311900453,62.8,62.8,62.8,62.8,0,0,0,0,0,1.06,1.06,1.06,1.06,27414164,27414164,27414164,27414164,27414164,-3.48,-3.48,-3.48,-3.48,-7,-7,-7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.63,-9.63,-9.63,-9.63,750027,750027,750027,750027,750027,2.75,2.75,2.75,2.75,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229607853,1229607853,1229607853,1229607853,1229607853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
综合,河北省,1,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,302298889,302298889,302298889,302298889,302298889,22030293,22030293,22030293,22030293,22030293,57,57,57,57,57,45738342,45738342,45738342,45738342,45738342,30.46,30.46,30.46,30.46,0,0,0,0,0,4.06,4.06,4.06,4.06,28518688,28518688,28518688,28518688,28518688,14.42,14.42,14.42,14.42,21.42,21.42,21.42,21.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86019,86019,86019,86019,86019,3.31,3.31,3.31,3.31,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92098743,92098743,92098743,92098743,92098743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
废弃资源综合利用业,河北省,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
印刷和记录媒介复制业,河北省,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
卫生和社会工作,河北省,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
文教、工美、体育和娱乐用品制造业,河北省,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
